Peak,Secondary Peak,Route Name,Climb Grade,Elevation Gain,Driving Distance (Miles),Driving Time (Hours),Typical Duration,Typical Season,Glaciated Peak,Rock Skills Required,Snow Angle,Rappelling Required,Crevasse Rescue Skills Required,Typical Gear,Notes,Guide Books,Phone Numbers
Snowfield Peak,,Neve Glacier,C,7200,310,5,2,summerautumn,TRUE,4,35to50,TRUE,TRUE,Scramble,"Nelson and Potterfield write, ""... the interesting terrain, high alpine splendor and appealing views are guarded by a long, steep dry approach.""  The climbing is moderate across a large glacier, finishing with 400 feet of 3rd/4th class Scramble to the summit.  This peak is near Diablo Lake off of the North Cascades Highway.",Climbs in the Cascades Vol. II by Nelson and Potterfield Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,Marblemount NPS Ranger Station 360-873-4590
Snowking Mountain,,Kindy Ridge,A,5400,340,6.5,2,summerautumn,TRUE,3,upto35,FALSE,TRUE,Scramble,"Jeff Smoot writes:  ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢Snowking Mountain is a relatively modest but attractive glaciated peak rising south of the Cascade River about 10 miles west of Cascade Pass.  Snowking is heavily glaciated, surprisingly so for a peak of such modest elevation.  It is one of the most remote peaks included in this guide.ÌÄåÎÌÄå__  ",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey Climbing Washington's Mountains by Jeff Smoot 75 Scrambles in Washington by Peggy Goldman,"Marblemount NPS Ranger Station 360-873-4590, Mt. Baker-Snoqualmie NF, Mt. Baker Ranger Station 360-856-5700"
South Early Winter Spire,,South Arete,E,2500,310,7,1,summerautumn,FALSE,5,,TRUE,FALSE,Rock,A moderate and interesting climb with short steps of 4th and 5th class climbing interspersed with 3rd class Scramble. The South Arete is an appealing route on good rock with plentiful belay points and anchors.,Climbs in the Cascades Vol. 1 by Nelson and Potterfield Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey ,none
South Sister,,West Ridge,B,4900,170,3,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,Scramble,"A technically easy climb with a long approach. Start at Obsidian Trail and Linton Meadows.  This route is seldom done, so expect few other people",Oregon High by Jeff Thomas,"USFS, Bend/Fort Rock District Office: 541-383-4000"
South Sister,,North Face Couloir,E,4900,190,4,2,springsummer,TRUE,4,over50,FALSE,TRUE,Snow,"The North Face Couloir is in a true north facing cirque like Eliot Headwall on Mt. Hood. Usually the North Face Couloir is as snow climb, but during the right conditions, you will find multiple pitches of ice. ",Oregon High by Jeff ThomasClimbers Guide to the Cascade Volcanoes by Jeff Smoot,"USFS, Bend/Fort Rock District Office: 541-383-4000 "
South Sister,,Prouty Glacier,B,4900,190,4,2,springsummer,TRUE,,35to50,FALSE,FALSE,Snow,"A somewhat more difficult and longer route than the standard south side.  Involves climbing on the Prouty Glacier, and some Scramble through rock bands.  A late season bergschrund can make this route impassible.  Approach via Green Lakes.  Can be done car to car in a long day.",Oregon High by Jeff ThomasClimbers Guide to the Cascade Volcanoes by Jeff Smoot,"USFS, Bend/Fort Rock District Office: 541-383-4000"
South Sister,,Green Lakes,A,4900,190,4,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,Scramble,"South Sister is the highest of the Three Sisters and is located in Central Oregon. This approach is from Green Lakes, and typically involves an overnight at the lakes. The climb is long, but not technical. Outstanding views from the summit.",Oregon High by Jeff Thomas ,"USFS, Bend/Fort Rock District Office: 541-383-4000 "
South Sister,,Devil's Lake,A,4900,190,4,1,summerautumn,TRUE,3,upto35,FALSE,FALSE,Scramble,"The highest and easiest of the Three Sisters, Oregon's third highest peak is a non-technical walk-up great for those want great views and a long hike.  Great early season ski descent. Crampons and ice axe not needed in late season. Summit crater has highest lake in the state.  Summit bivys can be popular.  One of the easier glaciated peaks to climb to become a Mazama member.",Oregon High by Jeff Thomas,"USFS, Bend/Fort Rock District Office: 541-383-4000"
Sperry Peak,,NW Ridge,A,4300,250,5,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,Scramble,"Sperry offers a class 3-4 scramble ascent with no major technical difficulty, some snowfield travel, a moderate hike in and superb views.  It's often combined with it's neighbor Vesper Peak.",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred BeckeyClimbing Washingtons Mountains by Jeff Smoot75 Scrambles in Washington by Peggy Goldman,"Mt. Baker / Snoqualmie NF, Darrington Ranger Station: 360-436-1155"
Split Mountain,,North Ridge,B,,750,13,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Follow the Red Lake Trail 5 miles to Red Lake-camp sites available. From the lake, hike NW to the Prater-Split saddle (last 100' is 3rd class rubble and talus. From the saddle, follow the north ridge to the summit. permit is required- reserve 6 months before or take your chances with a walk in on the day of your climb.",Climbing Californias Fourteeners by Porcella and Burns,"Inyo Forest Headquarters, Bishop, CA 760-873-2400"
St. Andrews Rock,,Puyallup Cleaver,C,6000,150,3,2,springsummer,TRUE,,35to50,FALSE,TRUE,Snow,"The peak is magnificently centered in the Sunset Amphitheater on Mt. Rainiers west side. Route generally follows the cleaver to a high camp at approx. 9,000 ft., then ascend the cleaver direct or skirt left on glacier to gain the summit.  The climb starts at low elevation on West Side Road in MRNP. Hike-in may include 4 miles of mountain bike (uphill) on all-weather road, but a downhill blast along what would be a boring slog on the descent. ",,Mt. Rainier NP: 360-569-2211
Steens Mountain,,Indian Gorge Headwall,A,4500,300,7,1,summerautumn,FALSE,3,,TRUE,FALSE,Scramble,"Steens Mountain is the dominant peak of SE Oregon.  (A road takes you to the top, but as climbers know, the easy way is not always the best way.)",75 Scrambles in Oregon by Barbara Bond,"BLM, Burns District"
Steens-Kiger-Mann,,South Ridge,A,,350,7,1,summerautumn,FALSE,,,FALSE,FALSE,Scramble,From Summitpost:,75 Scrambles in Oregon by Barbara Bond,"Bureau of Land Management (BLM), Burns District"
Stevens Peak,,West Ridge,A,2100,150,3,1,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,"Stevens Peak anchors the far east end of the Tatoosh Range, a mini-range in the south end of Mt. Rain-Here National Park. Stevens is seldom climbed, as it's rather far to get to with a somewhat problematic approach, especially when compared to to the ridiculously easy access of the Castle-Pinnacle Plummer area of the Tatoosh. Even Mssr. Beckey writes ""Allow a full day.""",Cascade Alpine Guide: Columbia River to Stevens PassÌÄåÎÌÄå__ by Fred Beckey,"Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334"
Stiletto Peak,,Traverse,C,1800,300,6,2,summerautumn,FALSE,5,,TRUE,FALSE,Rock,"This climb is an seldom done traverse between Switchblade and Stiletto peaks, near Twisp Pass in the North Cascades.   Expect exposed 5th class traverses and superb scenery.",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey ,none
Strawberry Mountain,,NE Ridge,A,3100,250,7,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Strawberry Mountain is the highest point in the Blue Mountains.  Its in the Strawberry Mountain Wilderness, and is located east of John Day, Oregon, in the Malheur National Forest.",75 Scrambles in Oregon by Barbara Bond,"USFS Prairie City Ranger District Prairie City, OR 541-820-3311"
Summit Chief Mountain,,SE Ridge,A,4500,270,5,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,An alpine scramble route with a relatively long (9 mile) approach hike.,Climbing Washington's Mountains by Jeff SmootCascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,USFS Cle Elum Ranger District: 509-852-1100
Tatoosh Range,,Pinnacle-Eagle (6 peak) Traverse,A,4000,150,3.5,1,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,"This particular traverse covers the 6 western peaks of the Tatoosh Range: Plummer, Denman, Lane, Wahpenayo, Chutla, and Eagle.  It can be done car to car in a long day.  A car shuttle is a fine idea.  All peaks are scramble peaks and do not require roped climbing.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey 75 Scrambles in Washington by Peggy Goldman,"Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334"
Tatoosh Traverse,,Pinnacle-Eagle,B,3000,160,3.5,1,summerautumn,FALSE,4,upto35,TRUE,FALSE,Scramble,"The Tatoosh range, in Mt. Rain-Here Nat. Park, offers many popular outings for the beginning climber.  The most popular Mazamas climbs in this area are a 1 tour of Castle, Pinnacle and Plummer peaks, or a run up Unicorn.  But the Tatoosh offers far more than these peaks.  Chronic and committed peak-baggers willing to get off the beaten track a bit will find a more serious challenge.  How about as many as 11 peaks in 2 days!?  On day 1, you can tag Stevens, Unicorn, Boundary, Castle and Pinnacle, and the following day try Plummer, Denman, Lane, Wahpenayo, Chutla, and Eagle.  It's possible to mix and match almost as many as you want, so you can make an outing as easy or rigorous as you like.  In late season (after about mid June, most years), most or all of the snow will be gone and it'll be a rock scramble.  If you try a more ambitious mix of peaks, be sure you are fit, comfortable on steep scree and moderate snow traverses, and ready for a day of cross country travel and moderate route finding challenges.  Spectacular vistas of Mt. Rainier await you - on a clear day, of course.  Rock shoes are not needed - ropes are for the rap from Unicorn and Castle.  Ropes, harnesses, pro and helmets are not needed on Stevens, Boundary, Plummer, Denman, Lane, Wahpenayo, Chutla and Eagle.  ""Tatoosh"" means 'nourishing breast "" in the local native American language.  Be sure to check the photo below and the links to ericsbasecamp.net for more.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey75 Scrambles in Washington by Peggy Goldman,"Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334 "
Telescope Peak,,Mahogany Flat Trail,A,2900,,,1,springsummer,FALSE,3,,FALSE,FALSE,Scramble,This is the highest Peak in Death Valley.  ,"Hiking Death Valley, Falcon Press guidebook",unknown
The Brothers,,South Couloir / Lena Lake,B,6100,170,3.5,2,summerautumn,FALSE,4,35to50,FALSE,FALSE,Snow,"The twin peaked mountain is one of the most conspicuous landmarks visible from Puget Sound.  This can be a ""double summit"" day for the ambitious party, tagging both North and South Brother, adding 2+ hours to the day.  Tricky routefinding might make for a long outing.  Be prepared for sustained 35 degree snow climbing, with a 45 degree step near the top.  Rope, axe and crampons are required.",Climbers Guide to the Olympic Mountains by Olympic Mountain Rescue,"US Forest Service, Hoodsport: 360-877-5254"
The Castle,,Standard Route,B,1600,160,3.5,1,summerautumn,FALSE,5,upto35,FALSE,FALSE,Rock,"The Castle is a box shaped peak on the immediate E of Pinnacle Peak, often climbed in conjunction with Pinnacle and Plummer peaks. There is a short rock pitch to gain the summit. Incredible views of Mt. Rainier await on a clear day.  A rope and basic rock pro can help with beginner climbers.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey75 Scrambles in Washington by Peggy Goldman,"Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334"
The Tooth,,South Face,C,2500,200,4,1,summerautumn,FALSE,5,upto35,TRUE,FALSE,Rock,"Close to the freeway and with an easy approach, this peak gets a lot of attention - by 1991, there were 14,000 ascents!  Three easy 5th class pitches gets you to the top.  Weekends can be crowded with newbies, so start early or go late to avoid the crowds.",Climbs in the North Cascades by Nelson and Potterfield Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,none
Thompson Peak,,South Couloir,A,4250,540,10,2,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,"Thompson Peak is the highest of the Sawtooth Range - described as the crown jewel of Idaho's many mountain ranges. Despite gaining slowly in popularity, the region retains a pristine and uncrowded nature. Views from the top of Thompson Peak are said to be spectacular.",,Sawtooth NRA - Stanley Office: 208-774-3000
Three Fingered Jack,,South Ridge,C,3800,130,2.5,1,summerautumn,TRUE,4,,TRUE,FALSE,Rock,"There is a tiny remnant glacier on this otherwise all-rock peak, which is one of the few 1 alpine rock routes in Oregon. It's a good beginner climb for those who want to see if they like alpine rock routes.  Great exposure on the famous ""Crawl"".  Bring old gaitors (or duct tape your boot tops) for the scree descent. Two ropes can be handy for fixing the Crawl and leading the summit block. Bring a few long pieces of webbing to sling rocks for the fixed line anchors, and a ion of large stoppers for rock pro.  Leave some water stashed at the climbers trail-PCT junction.  Get an early start on weekends - it can be a L O N G day if you get stuck behind a slow party.  Please be courteous and allow others to use your fixed lines.",Oregon High by Jeff Thomas,"Willamette Nat. Forest, Detroit Ranger District: 503-854-3366"
Three Fingers Mountain,,South Peak,B,4100,250,5,1,summerautumn,TRUE,4,35to50,FALSE,TRUE,Snow,The South Peak is the former true summit due to blasting for a lookout cabin built in the 1930s.  Views of the Puget Sound and many surrounding peaks.  ,Climbing Washington's Mountains by Jeff SmootCascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,"Mt Baker / Snoqualmie NF, Darrington Ranger Station: 360-436-1155 "
Three Fingers Mountain,,North Peak,C,4100,250,5,2,summerautumn,TRUE,4,35to50,TRUE,TRUE,rockandsnow,"As an alpine climb, 3 Finger Mountain North Peak has it all.  There is a small glacier with crevasses, 40-degree snow fields, and a complex rock climb over 4th and low 5th class rock with huge exposure.  The setting is gorgeous and gives stunning views of every major peak from Canada to Rainier and the Straits of Juan de Fuca to the Cascade Crest.   So what's not to like?",Climbing Washington's Mountains by Jeff SmootCascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,"Mt Baker / Snoqualmie NF, Darrington Ranger Station: 360-436-1155 "
Tolmie Peak,,Mowich Lake,A,,,,,,,,,,,Scramble,,,
Tomyhoi Peak,,SE Ridge,B,4500,320,8,2,summerautumn,TRUE,3,35to50,FALSE,TRUE,Snow,"Tomyhoi Peak is an impressive glaciated massif located just south of the British Columbia border between Mts. Baker and Shuksan. An enjoyable route passes several picturesque alpine tarns and involves long sections of easy ridge walking with spectacular views of Mt. Shuksan. One section traverses snow slopes and the upper section of a glacier. The final 150 feet of Scramble is tricky and exposed, yet very satisfying. It can be done as a day trip from the trailhead (3835 elev. gain), but why pass up the opportunity to set up a camp at the alpine tarns? Do use care, as this is a fragile and popular area. ",Climbing Washington's Mountains by Jeff Smoot Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,Glacier Public Service Center: (360) 599-2714
